benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers
bicg,MEDIUM,15,LSS,1.75,O2,39,0.0494726426666805,66.88727267600325,49,211,0,1080,6145,306,6451,37
bicg,MEDIUM,15,LSS,1.75,O3,49,0.0494726426666805,66.88727267600325,64,271,0,1596,6595,376,6971,57
bicg,SMALL,10,ALL_BRAM,1.0,O0,36,0.0363999969999984,100.3653297702541,34,138,0,727,5506,238,5744,21
bicg,SMALL,10,ALL_BRAM,1.0,O2,41,0.0363999969999984,100.3653297702541,39,206,1,953,5873,239,6112,32
bicg,SMALL,10,ALL_BRAM,1.0,O3,51,0.0363999969999984,100.3653297702541,49,266,7,1276,6323,409,6732,46
bicg,SMALL,10,ALL_BRAM,1.75,O0,40,0.0170666606666802,100.17095837552512,38,138,0,727,5506,238,5744,21
bicg,SMALL,10,ALL_BRAM,1.75,O2,45,0.0170666606666802,100.17095837552512,43,206,1,953,5873,239,6112,32
bicg,SMALL,10,ALL_BRAM,1.75,O3,55,0.0170666606666802,100.17095837552512,53,266,7,1276,6323,409,6732,46
bicg,SMALL,10,LSS,1.0,O0,39,0.0363999969999984,100.3653297702541,45,138,0,760,5774,240,6014,23
bicg,SMALL,10,LSS,1.0,O2,45,0.0363999969999984,100.3653297702541,55,206,0,1082,6141,306,6447,37
bicg,SMALL,10,LSS,1.0,O3,55,0.0363999969999984,100.3653297702541,70,266,2,1598,6591,376,6967,57
bicg,SMALL,10,LSS,1.75,O0,43,0.0170666606666802,100.17095837552512,49,138,0,760,5774,240,6014,23
bicg,SMALL,10,LSS,1.75,O2,49,0.0170666606666802,100.17095837552512,59,206,0,1082,6141,306,6447,37
bicg,SMALL,10,LSS,1.75,O3,59,0.0170666606666802,100.17095837552512,74,266,2,1598,6591,376,6967,57
bicg,SMALL,15,ALL_BRAM,1.0,O0,30,0.0494726426666805,66.88727267600325,28,138,0,727,5506,238,5744,21
bicg,SMALL,15,ALL_BRAM,1.0,O2,35,0.0494726426666805,66.88727267600325,33,206,0,953,5873,239,6112,32
bicg,SMALL,15,ALL_BRAM,1.0,O3,44,0.0494726426666805,66.88727267600325,42,266,0,1340,6323,340,6663,47
