evaluation,target,reduction,model,rows,features_before,test_rows,mae,rmse,r2,folds,mae_std,rmse_std,r2_std
kfold,openroad_total_power,pca_3,ridge,18,66,,0.07747819283571165,0.09568195172254794,-1050.0213648829895,5.0,0.025813360607690003,0.03853970720509024,1367.5566393108718
random_split,openroad_total_power,pca_3,random_forest,18,66,5.0,0.05015629677380949,0.056567145880293844,-2.4956968567475672,,,,
kfold,openroad_total_power,pca_3,random_forest,18,66,,0.04288569604365079,0.056140552486739395,-170.94132230825915,5.0,0.03342452816326635,0.05674515115724005,229.5662216231491
random_split,openroad_total_power,pca_3,gradient_boosting,18,66,5.0,0.1144429545424241,0.137632322563844,-19.69407924854459,,,,
kfold,openroad_total_power,pca_3,gradient_boosting,18,66,,0.04978654786312316,0.06404822269431144,-35.388526112858294,5.0,0.06120822892196233,0.07313225500204508,36.14439318148807
random_split,openroad_total_power,pca_3,gaussian_process,18,66,5.0,0.04587883621682695,0.06619202220767055,-3.7864830903971516,,,,
kfold,openroad_total_power,pca_3,gaussian_process,18,66,,0.04576191626557916,0.06168389270075664,-186.00770368147207,5.0,0.02291308582446805,0.0430110529201262,184.24210926652117
random_split,openroad_total_power,pca_5,ridge,18,66,5.0,0.1077718457391333,0.11975228028662922,-14.666529983101713,,,,
kfold,openroad_total_power,pca_5,ridge,18,66,,0.07648262518233614,0.08972491155274394,-789.672573384075,5.0,0.033124361650730925,0.04357811207829795,993.7475737357753
random_split,openroad_total_power,pca_5,random_forest,18,66,5.0,0.052127066130952346,0.0641094782002361,-3.4900348788868127,,,,
kfold,openroad_total_power,pca_5,random_forest,18,66,,0.04186043382738095,0.05444620891243231,-134.48967699777268,5.0,0.03295595907383007,0.054181230027380185,177.55452660314052
random_split,openroad_total_power,pca_5,gradient_boosting,18,66,5.0,0.1278791448301922,0.1521845106619691,-24.301492179354334,,,,
kfold,openroad_total_power,pca_5,gradient_boosting,18,66,,0.04929345838193089,0.06225925836707822,-11.205132542795623,5.0,0.06762470062313265,0.07973244299754526,14.065555339724998
random_split,openroad_total_power,pca_5,gaussian_process,18,66,5.0,0.04290444449011011,0.06093733330119919,-3.056692792575345,,,,
kfold,openroad_total_power,pca_5,gaussian_process,18,66,,0.03984285585432677,0.053951912480139363,-135.86050733388888,5.0,0.02624418348792683,0.046380693523895,167.8137205480339
random_split,openroad_total_power,pca_10,ridge,18,66,5.0,0.10319271306896516,0.11551964517392765,-13.578637019911529,,,,
kfold,openroad_total_power,pca_10,ridge,18,66,,0.06470555965702561,0.07673343617641482,-333.54581403359066,5.0,0.040018916461801016,0.050318565765465256,451.99163402579535
random_split,openroad_total_power,pca_10,random_forest,18,66,5.0,0.034390771980158726,0.039409539561252926,-0.6967112997176432,,,,
kfold,openroad_total_power,pca_10,random_forest,18,66,,0.04459095124404761,0.0577142595838125,-264.41696103889547,5.0,0.03179746668516537,0.05291488946313203,431.3740058558596
random_split,openroad_total_power,pca_10,gradient_boosting,18,66,5.0,0.14362099071436732,0.1712702181440675,-31.045638723577987,,,,
kfold,openroad_total_power,pca_10,gradient_boosting,18,66,,0.07031425307621524,0.09006312784218334,-944.6411921371828,5.0,0.07191637111028346,0.08122396353085717,2049.596052427656
random_split,openroad_total_power,pca_10,gaussian_process,18,66,5.0,0.024296878302840563,0.02578005668284715,0.2739392393995582,,,,
kfold,openroad_total_power,pca_10,gaussian_process,18,66,,0.03837453061375096,0.04878170520896298,-220.12963535833825,5.0,0.024505947455185362,0.04571191758398794,314.3710041499413
